Actual,Predicted,Equal
methylmalonyl-CoAmutase,phosphatidylinositol4-kinase,False
Efg1domain-containingprotein,acetate--CoAligase,False
galactokinase,-family,False
proteinkinasefamilyprotein,-family,False
superoxidedismutase,triose-phosphateisomerasefamilyprotein,False
NADHdehydrogenasesubunit,-family,False
RNA-bindingNOB1familyprotein,NOB1familyendonuclease,False
DUF3894domain-containingprotein,RNAseHdomain-containingprotein,False
M4familypeptidase,M4familymetallopeptidase,False
NUDIXhydrolase,-family,False
2-carboxy-D-arabinitol-1-phosphatase,histidinephosphatasefamilyprotein,False
D-alloseABCtransporterATP-bindingproteinAlsA,ABCtransporterATP-bindingprotein,False
DUF2247familyprotein,DUF2225domain-containingprotein,False
DUF4775domain-containingprotein,DUF4946domain-containingprotein,False
DUF3209familyprotein,YkvRfamilyprotein,False
6-phosphofructokinase,-family,False
"protocatechuate3,4-dioxygenase",peroxidase,False
transcriptiontermination/antiterminationproteinNusA,NAD-dependentDNAligaseLigA,False
CD9antigen,tetraspaninfamilyprotein,False
shortcoiled-coilprotein,-family,False
pre-mRNA-processingfactor,-family,False
phosphatidylinositolphosphatekinasefamilyprotein,-family,False
DUF5437domain-containingprotein,DUF5426familyprotein,False
cbb3-typecytochromecoxidasesubunit,b(o/a)3-typecytochrome-coxidasesubunit1,False
gamma-glutamylcyclotransferase,cupindomain-containingprotein,False
insulinreceptor,insulinreceptorfamilyprotein,False
zinc-bindingalcoholdehydrogenasefamilyprotein,iron-containingalcoholdehydrogenase,False
single-strandedDNA-bindingprotein,flagellarbasalbodyP-ringproteinFlgI,False
BMT2familySAM-dependentmethyltransferase,generalstressprotein,False
BtaAfamilyprotein,DUF3450domain-containingprotein,False
aconitatehydratase,3-oxosteroid1-dehydrogenase,False
phosphoenolpyruvatesynthase,-family,False
lipasechaperone,AarF/ABC1/UbiBkinasefamilyprotein,False
PHandBEACHdomain-containingprotein,FANfamilyprotein,False
D-hexose-6-phosphatemutarotase,alpha-ribazolephosphatasefamilyprotein,False
DUF1848domain-containingprotein,PTD012familyprotein,False
YqgE/AlgHfamilyprotein,TIGR04028familyABCtransportersubstrate-bindingprotein,False
"cob(I)yrinicacida,c-diamideadenosyltransferase",protein-disulfidereductaseDsbD,False
oligogalacturonate-specificporinKdgMfamilyprotein,TipASantibiotic-recognitiondomain-containingprotein,False
DUF3090domain-containingprotein,TIGR02familyfamily,False
DUF1656domain-containingprotein,DUF1654domain-containingprotein,False
YesLfamilyprotein,YitTfamilyprotein,False
site-specificintegrase,TldD/PmbAfamilyprotein,False
BrxA/BrxBfamilybacilliredoxin,PP2Cfamilyprotein-serine/threoninephosphatase,False
FxLDfamilylanthipeptide,transcriptionalregulator,False
typeIpantothenatekinase,-family,False
Virfamilyprotein,sortase,False
virulencefactorMcefamilyprotein,HEPNdomain-containingprotein,False
geranylgeranylglyceryl/heptaprenylglycerylphosphatesynthase,glutathionylspermidinesynthasefamilyprotein,False
SsrA-bindingprotein,thioredoxinfamilyprotein,False
copinefamilyC2domain-containingprotein,"NADPH-dependent2,4-dienoyl-CoAreductase",False
dynamin,kinesinfamilyprotein,False
dTDP-4-dehydrorhamnosereductase,manganesecatalasefamilyprotein,False
ribosomebiogenesisregulatoryprotein,DHHCfamilypalmitoyltransferase,False
sirohydrochlorinchelatase,ribosome-bindingfactorA,False
RRP44/DIS3familyPINdomain-containingprotein,typeIItoxin-antitoxinsystemtoxin,False
VWAdomain-containingprotein,SGNH/GDSLhydrolasefamilyprotein,False
DUF2811domain-containingprotein,DUF2711domain-containingprotein,False
TonB-copperfamilyprotein,-family,False
rhodanese-likedomain-containingprotein,fibronectintypeIIIdomain-containingprotein,False
DNArepairprotein,DNAprimaselargesubunit,False
nitrilehydrataseaccessoryprotein,superoxidedismutase,False
nitrogenfixationprotein,fimbrialusherproteinStbD,False
PD-(D/E)XKnucleasefamilyprotein,-family,False
TIGR04255familyprotein,TIGR02677familyprotein,False
anthranilatesynthasesubunit,-family,False
PP2Cfamilyserine/threonine-proteinphosphatase,HNHendonuclease,False
tubbyfamilyprotein,-family,False
ribose-phosphatediphosphokinase,-family,False
DUF2889domain-containingprotein,DUF3231familyprotein,False
DUF896domain-containingprotein,DUF1190domain-containingprotein,False
SGNH/GDSLhydrolasefamilyprotein,phospholipaseBfamilyprotein,False
RICINdomain-containingprotein,-family,False
BTB/POZdomain-containingprotein,WD40andBTB/POZdomain-containingprotein,False
adhesinbiosynthesistranscriptionregulatoryfamilyprotein,folatereceptorfamilyprotein,False
YhgE/Pipdomain-containingprotein,acyltransferase,False
cilia-andflagella-associatedprotein,DUF4492domain-containingprotein,False
anthranilatesynthasesubunit,-family,False
Sec-independentproteintranslocasesubunit,twin-argininetranslocaseTatA/TatEfamilysubunit,False
smallbasicfamilyprotein,DUF1286domain-containingprotein,False
RNA-bindingprotein,"RNA-bindingmotif,single-stranded-interactingprotein",False
hemelyaseCcmF/NrfEfamilysubunit,-family,False
apolipoproteinN-acyltransferase,ATP-,False
pimeloyl-ACPmethylesteresteraseBioH,glidingmotility-associatedABCtransporterpermeasesubunitGldF,False
doublesex-andmab-3-relatedtranscriptionfactor,responseregulatortranscriptionfactor,False
FeFehydrogenaseH-clusterradicalSAMmaturase,bifunctionalindole-3-glycerolphosphatesynthase/phosphoribosylanthranilateisomerase,False
DNA-bindingtranscriptionalregulator,-family,False
lactoferrin/transferrinfamilyTonB-dependentreceptor,rac-likeGTP-bindingprotein,False
ATP-dependent6-phosphofructokinase,-family,False
heavymetaltranslocatingP-typeATPase,ABCtransportersubstrate-bindingprotein,False
DUF4236domain-containingprotein,DUF4240domain-containingprotein,False
GTPase,type1glutamineamidotransferase,False
DUF2255familyprotein,DUF2184domain-containingprotein,False
tRNAsynthetase,7-cyano-7-deazaguaninesynthase,False
glycosyltransferasefamilyprotein,helix-turn-helixtranscriptionalregulator,False
aquaporin,-family,False
adenylosuccinatelyase,neuralWiskott-Aldrichsyndromeprotein,False
hydroxylaminereductase,-family,False
"glutamatereceptorionotropic,NMDA1",GNATfamilyN-acetyltransferase,False
Jdomain-containingprotein,flavodoxindomain-containingradicalSAMprotein,False
typeIItoxin-antitoxinsystemtoxin,potassiumchannelprotein,False
sensordomain-containingdiguanylatecyclase,GGDEFandEALdomain-containingprotein,False
cuticlecollagen,-family,False
B-boxzincfingerprotein,helix-turn-helixtranscriptionalregulator,False
glutaredoxin,diacylglycerol/polyprenolkinasefamilyprotein,False
cytochromeP450,VOCfamilyprotein,False
Smcdomain-containingprotein,-family,False
amidohydrolase,NTP/NDPexchangetransporter,False
DUF3014domain-containingprotein,DUF3011domain-containingprotein,False
pre-mRNA-splicingfactor,-family,False
potassiumvoltage-gatedchannelprotein,structure-specificendonucleasesubunitSLX4,False
DUF4225domain-containingprotein,DUF4224domain-containingprotein,False
GTP-bindingprotein,DHHfamilyphosphoesterase,False
HMG-boxdomain-containingprotein,highmobilitygroupprotein,False
glycosidehydrolasefamilyprotein,-family,False
penicillin-bindingprotein,-family,False
DUF3796domain-containingprotein,DUF3798domain-containingprotein,False
Na-translocatingNADH-quinonereductasesubunit,-family,False
iron-sulfurclusterassemblyprotein,-family,False
molybdate/tungstateABCtransportersubstrate-bindingprotein,typeIItoxin-antitoxinsystemantitoxin,False
5'-nucleotidase,2-phospho-L-lactatetransferase,False
sulfurtransferase,rhodanese-likedomain-containingprotein,False
"dTDP-4-amino-4,6-dideoxygalactosetransaminase",-family,False
DUF4024domain-containingprotein,DUF4019domain-containingprotein,False
DENNdomain-containingprotein,Zn(II)2Cys6transcriptionfactor,False
"highaffinitycAMP-specificandIBMX-insensitive3',5'-cyclicphosphodiesterase8familyprotein",responseregulator,False
DUF432domain-containingprotein,DUF2familydomain-containingprotein,False
glycogen/starch/alpha-glucanphosphorylase,profilin,False
adenylosuccinatesynthetase,-family,False
GATA-typetranscriptionfactor,SANT/Myb-likeDNA-bindingdomain-containingprotein,False
PhoHfamilyprotein,CHAPdomain-containingprotein,False
Par3-ntddomain-containingprotein,proteinN-terminalglutamineamidohydrolase,False
bifunctionalphosphopantothenoylcysteinedecarboxylase/phosphopantothenatesynthase,-family,False
tetratricopeptiderepeat-containingprotein,-family,False
M14familymetallocarboxypeptidase,M14/M99familymetallopeptidase,False
glutathioneS-transferasefamilyprotein,hematopoieticprostaglandinDsynthase,False
transketolase,-family,False
tryptophan--tRNAligase,-family,False
CoB--CoMheterodisulfidereductaseiron-sulfursubunitAfamilyprotein,FAD-bindingoxidoreductase,False
POB3familyprotein,-family,False
SLC19familyprotein,homocitratesynthase,False
NAD-dependentproteindeacetylase,YifBfamilyMgchelatase-likeAAAATPase,False
MBLfoldmetallo-hydrolase,cyanophycinase,False
zincfingerandBTBdomain-containingprotein,BTB/POZandTAZdomain-containingprotein,False
proteinkinasefamilyprotein,prenyltransferase,False
DUF4570domain-containingprotein,maturin,False
argininerepressor,ribonucleaseRfamilyprotein,False
GTP-bindingprotein,-family,False
DUF2093domain-containingprotein,DUF2098domain-containingprotein,False
hybridsensorhistidinekinase/responseregulator,sensorhistidinekinase,False
acylcarrierprotein,-family,False
DUF4411familyprotein,DUF4418familyprotein,False
phosphatidylinositolmannosideacyltransferase,-family,False
YaiYfamilyprotein,DUF2776domain-containingprotein,False
Rab7familyprotein,Rab19familyprotein,False
phosphatasePAP2familyprotein,-family,False
alpha/betahydrolase,HMG-boxdomain-containingprotein,False
rRNAlargesubunitpseudouridinesynthaseE,GTP-bindingprotein,False
VOCfamilyprotein,NOP5/NOP56familyprotein,False
asparticprotease/reversetranscriptasefamilyprotein,asparticproteasefamilyprotein,False
DUF3289familyprotein,DUF3293domain-containingprotein,False
DUF4087domain-containingprotein,DUF4099domain-containingprotein,False
hemerythrindomain-containingprotein,LLMclassoxidoreductase,False
ATP11familyprotein,GYDdomain-containingprotein,False
kinesin/myosinmotordomain-containingprotein,-family,False
typeIItoxin-antitoxinsystemtoxin,-family,False
S8familypeptidase,translationinitiationfactor,False
DUF1882domain-containingprotein,DUF1854domain-containingprotein,False
KOWdomain-containingRNA-bindingprotein,-family,False
AP2/ERFfamilytranscriptionfactor,-family,False
non-ribosomalpeptidesynthetase,-family,False
BTB/POZandTLDdomain-containingprotein,-family,False
cytochromeb-c1complexsubunit,UBP-typezincfingerdomain-containingprotein,False
YgiQfamilyradicalSAMprotein,-family,False
bifunctionalornithineacetyltransferase/N-acetylglutamatesynthase,multidrugABCtransporterpermease/ATP-bindingprotein,False
pseudouridinesynthase,-family,False
DUF2550domain-containingprotein,DUF2650domain-containingprotein,False
pyridoxalphosphate-dependentaminotransferase,-family,False
typeIIADNAtopoisomerasesubunitB,-family,False
methioninesynthase,HhatoxicitymodulatorTomB,False
DegVfamilyprotein,YqgE/AlgHfamilyprotein,False
short-chainfattyacidtransporter,pyridoxal5'-phosphatesynthase,False
rRNAsmallsubunitmethyltransferaseB,BTB/POZandMATHdomain-containingprotein,False
phosphogluconatedehydratase,-family,False
cartilageacidicprotein,VCBSrepeat-containingprotein,False
histidine--tRNAligase,-family,False
PhoPregulatorynetworkYrbLfamilyprotein,Eco29kIfamilyrestrictionendonuclease,False
dipeptidase,site-2proteasefamilyprotein,False
thiaminepyrophosphokinase,glutamate5-kinase,False
preproteintranslocasesubunitSecA,celldivisionprotein,False
M9familymetallopeptidase,U32familypeptidase,False
nucleotideexcisionrepairendonuclease,excinucleaseABCsubunitUvrC,False
responseregulator,hybridsensorhistidinekinase/responseregulator,False
C2HC-typezincfingerprotein,zincfingerCCCHdomain-containingprotein,False
typeVIsecretionsystemVgrfamilyprotein,PepSYdomain-containingprotein,False
insulinreceptorsubstrate,SSRP1familyPHdomain-containingprotein,False
cyclasefamilyprotein,YhcN/YlaJfamilysporulationlipoprotein,False
proteinYebF,YebOfamilyprotein,False
ADOPfamilyprotein,-family,False
sugarporterfamilyMFStransporter,M14familymetallopeptidase,False
PASdomain-containingmethyl-acceptingchemotaxisprotein,helix-turn-helixtranscriptionalregulator,False
ERG2familyprotein,CENP-N/CHL4familyprotein,False
malonatedecarboxylasesubunitbeta,enoyl-CoAhydratase,False
myocyte-specificenhancerfactor2,C2H2-typezincfingerprotein,False
HflXfamilyGTPase,V-typeprotonATPasesubunit,False
adenylosuccinatelyase,HADfamilyhydrolase,False
fasciclindomain-containingprotein,radicalSAM/SPASMdomain-containingprotein,False
sodium-independentaniontransporter,Gprotein-coupledreceptorkinase,False
classISAM-dependentmethyltransferase,16SrRNAmethyltransferase,False
catalase,calcium/protonexchanger,False
PIG-Lfamilydeacetylase,threonine/serineexporterfamilyprotein,False
lysophospholipidacyltransferasefamilyprotein,phosphatidylserinedecarboxylase,False
pyruvatekinase,carbohydratekinase,False
amidohydrolase,MFStransporter,False
DNA-directedRNApolymerasesubunit,-family,False
LCPfamilyprotein,O-antigenligasefamilyprotein,False
tRNAguanosine-methyltransferase,-family,False
colicinVproductionprotein,-family,False
aromatase/cyclase,SRPBCCfamilyprotein,False
PINdomain-containingprotein,typeIItoxin-antitoxinsystemtoxin,False
zinc-bindingdehydrogenase,zinc-bindingalcoholdehydrogenasefamilyprotein,False
glutamateracemase,-family,False
IMPDH/GMPRfamilyprotein,-family,False
galectin-3-bindingprotein,GGLdomain-containingprotein,False
RNA-bindingprotein,M50familymetallopeptidase,False
diguanylatecyclase,sensordomain-containingdiguanylatecyclase,False
XapXdomain-containingprotein,pyrroloquinolinequinoneprecursorpeptidePqqA,False
oxygen-sensingcyclic-di-GMPphosphodiesterase,-family,False
polyApolymerasedomain-containingprotein,Tim44domain-containingprotein,False
retinoid-relatedorphanreceptor,VOCfamilyprotein,False
AI-2Efamilytransporter,-family,False
adenylyltransferase/sulfurtransferaseMoeZ,-family,False
MFStransporter,3-isopropylmalatedehydratasesmallsubunit,False
DUF1398domain-containingprotein,energy-couplingfactorABCtransporterATP-bindingprotein,False
ubiquitin-conjugatingenzymefamilyprotein,-family,False
frataxinfamilyprotein,Pumilio-familyRNAbindingrepeat-containingprotein,False
kelchrepeatandDCDdomain-containingprotein,tRNAm(4)XmodificationenzymeTRM13,False
unc-51/ULK1familyserine/threonine-proteinkinase,ULK4familyprotein,False
DNA-directedRNApolymerasesubunit,-family,False
sodium/prolinesymporter,endonuclease/exonuclease/phosphatasefamilyprotein,False
biotin-independentmalonatedecarboxylasesubunitgamma,citratelyaseacylcarrierprotein,False
MFStransporter,-family,False
TIGR02808familyprotein,YsnF/AvaKdomain-containingprotein,False
PhoP/PhoQregulatorMgrB,-family,False
flagellarhook-lengthcontrolproteinFliK,polysaccharidebiosynthesisprotein,False
tRNAisopentenyl-2-thiomethyl-A-37hydroxylaseMiaE,oxidoreductase-likedomain-containingprotein,False
metalABCtransportersubstrate-bindingprotein,acyl-CoAdehydrogenasefamilyprotein,False
DUF2066domain-containingprotein,DUF2057domain-containingprotein,False
RBCMTfamilySETdomain-containingprotein,SETdomain-containingmethyltransferase,False
immunoglobulindomain-containingprotein,-family,False
PHDfingerdomain-containingprotein,phosphatidylinositol3-kinase,False
timelessfamilyprotein,nucleoside2-deoxyribosyltransferase,False
YugN-likefamilyprotein,YniBfamilyprotein,False
DNA-bindingresponseregulator,bifunctionalprotein-serine/threoninekinase/phosphatase,False
sugarphosphatase,-family,False
ankyrinrepeatandsterilealphamotifdomain-containingprotein,leucine-zipper-liketranscriptionalregulator,False
pyridoxamine5'-phosphateoxidasefamilyprotein,NADH-quinoneoxidoreductasesubunit,False
DUF1353domain-containingprotein,DUF1349domain-containingprotein,False
YtxHdomain-containingprotein,nodulin-likeprotein,False
DUF3291domain-containingprotein,DUF3391domain-containingprotein,False
Jdomain-containingprotein,oxidoreductase,False
nicotinate-nucleotidediphosphorylase,-family,False
L-asparaginasefamilyprotein,-family,False
RadCfamilyprotein,DNArepairprotein,False
DUF2325domain-containingprotein,zincmetalloprotease,False
GNATfamilyN-acetyltransferase,leucine-richrepeatdomain-containingprotein,False
glucokinase,carbamoyltransferaseHypF,False
DoxXfamilyprotein,conjugaltransferprotein,False
AppAfamilyphytase/histidine-typeacidphosphatase,diacylglycerol/polyprenolkinasefamilyprotein,False
acetolactatesynthaselargesubunit,-family,False
BTB/POZandTAZdomain-containingprotein,BTB/POZandTLDdomain-containingprotein,False
C-Jun-amino-terminalkinase-interactingprotein,cytohesin,False
DUF4423domain-containingprotein,DUF4422domain-containingprotein,False
nicotinate-nucleotidediphosphorylase,-family,False
lysine-specificdemethylase2B,F-boxprotein,False
E3ubiquitin-proteinligase,Frag1/DRAM/Sfk1familyprotein,False
MFStransporter,ARNfamilyMFStransporter,False
zinc-dependentmetalloprotease,CHATdomain-containingprotein,False
GATA-typetranscriptionfactor,typeVIsecretionsystemVgrfamilyprotein,False
colanicacidbiosynthesisproteinWcaM,-family,False
nexttoBRCA1gene1protein,ankyrinrepeatandBTB/POZdomain-containingprotein,False
DUF4090familyprotein,DUF4085domain-containingprotein,False
ABC1kinasefamilyprotein,ADCKfamilyprotein,False
T9SSC-terminaltargetdomain-containingprotein,YhdPfamilyprotein,False
septinfamilyprotein,keratinocytedifferentiationfactor1,False
SDRfamilyoxidoreductase,bifunctionalmetallophosphatase/5'-nucleotidase,False
iron-sulfurclusterbiosynthesisfamilyprotein,classIIfructose-bisphosphatealdolase,False
fasciclindomain-containingprotein,-family,False
hydrogenase4subunit,-family,False
M90familymetallopeptidase,-family,False
MotA/TolQ/ExbBprotonchannelfamilyprotein,-family,False
typeIVsecretionsystemprotein,-family,False
nucleotidesugardehydrogenase,-family,False
acetate--CoAligase,vomeronasaltype-2receptor,False
terminaselargesubunit,GtrAfamilyprotein,False
classIIIextradiolring-cleavagedioxygenase,Cof-typeHAD-IIBfamilyhydrolase,False
L-threonylcarbamoyladenylatesynthase,ribose-phosphatepyrophosphokinase,False
DUF3188domain-containingprotein,DUF3177familyprotein,False
JABdomain-containingprotein,DNArepairprotein,False
N-acetylornithinecarbamoyltransferase,-family,False
ubiquitinfamilyprotein,-family,False
histonedeacetylase,NAD-bindingprotein,False
ABCtransporterATP-bindingprotein,cholineABCtransporterATP-bindingprotein,False
typeIItoxin-antitoxinsystemtoxin,subclassB3metallo-beta-lactamase,False
5-carboxymethyl-2-hydroxymuconateDelta-isomerase,L30/L7family60Sribosomalprotein,False
DUF4233domain-containingprotein,DUF4230domain-containingprotein,False
MARVEL/CASPfamilyprotein,-family,False
ADP-glyceromanno-heptose6-epimerase,D-alanine--D-alanineligase,False
BTB/POZdomain-containingprotein,-family,False
M6familymetallopeptidase,phosphopantothenate/pantothenatesynthetase,False
BTB/POZdomain-containingprotein,serine/threonine-proteinkinase,False
DUF4936familyprotein,DUF4931domain-containingprotein,False
FprAfamilyA-typeflavoprotein,zinctransporter,False
flavodoxinfamilyprotein,-family,False
DUF2963domain-containingprotein,DUF2968domain-containingprotein,False
YeeE/YedEfamilyprotein,-family,False
d(CMP)kinase,AAAfamilyATPase,False
YkgBfamilyprotein,YfhOfamilyprotein,False
flagellarbasalbodyrodproteinFlgF,-family,False
bifunctionaldiguanylatecyclase/phosphodiesterase,GGDEFdomain-containingresponseregulator,False
SagB/ThcOxfamilydehydrogenase,EngAfamilyGTP-bindingprotein,False
CrcBfamilyprotein,insulinasefamilyprotein,False
replicationprotein,cholineABCtransporterATP-bindingprotein,False
OTUdomain-containingprotein,DNAmismatchrepairproteinMutL,False
ubiquitin-likedomain-containingprotein,protrudin,False
M14familymetallopeptidase,glycosidehydrolasefamilyprotein,False
KGGdomain-containingprotein,post-transcriptionalregulator,False
glucuronateisomerase,-family,False
putativesporulationproteinYtxC,TraCfamilyprotein,False
methylglyoxalsynthase,-family,False
YndJfamilyprotein,YxiJ-likefamilyprotein,False
D-riboseABCtransportersubstrate-bindingprotein,L-glutamategamma-semialdehydedehydrogenase,False
nucleotideexchangefactorGrpE,-family,False
acetyl-CoAacetyltransferase,-family,False
outercapsidproteinVP7,-family,False
RNApolymerasealphasubunitC-terminaldomain-containingprotein,-family,False
typeVIsecretionsystemVgrfamilyprotein,-family,False
STMP1familyprotein,DUF4543domain-containingprotein,False
DNApolymerase,pre-mRNAsplicingfactor,False
"fructose-1,6-bisphosphatase",S-adenosylmethioninedecarboxylaseproenzyme,False
DUF2786domain-containingprotein,DUF2776domain-containingprotein,False
diacylglycerolkinase,-family,False
ATP-bindingcassettedomain-containingprotein,-family,False
23SrRNApseudouridinesynthase,YebC/PmpRfamilyDNA-bindingtranscriptionalregulator,False
virulencefactorSrfB,methioninebiosynthesisproteinMetW,False
DUF5101domain-containingprotein,DUF4897domain-containingprotein,False
dofzincfingerprotein,-family,False
Dfp1/Him1middledomain-containingprotein,FAD-bindingoxidoreductase,False
zincfingerandBTBdomain-containingprotein,M56/M15familymetallopeptidase,False
majorcapsidprotein,Saf4/Yju2familyprotein,False
M81familymetallopeptidase,DUF769domain-containingprotein,False
HAMPdomain-containingsensorhistidinekinase,sensorhistidinekinase,False
polysaccharidebiosynthesisprotein,phosphoglyceratedehydrogenase,False
YheUfamilyprotein,-family,False
DUF5092domain-containingprotein,DUF5091familyprotein,False
YfzAfamilyprotein,YfkDfamlyprotein,False
cytochromeP450,type-Fconjugativetransfersystempilinassemblythiol-disulfideisomeraseTrbB,False
polyhydroxyalkanoicacidsynthase,helix-turn-helixdomain-containingprotein,False
BTB/POZdomainandankyrinrepeat-containingprotein,zincfingerandBTBdomain-containingprotein,False
OsmCfamilyprotein,EsaB/YukDfamilyprotein,False
HADfamilyphosphatase,LXGdomain-containingprotein,False
class1fructose-bisphosphatase,-family,False
potassium-transportingATPasesubunit,-family,False
innexin/pannexinfamilyprotein,guaninenucleotideexchangefactor,False
bifunctionalGNATfamilyN-acetyltransferase/carbon-nitrogenhydrolasefamilyprotein,apolipoproteinN-acyltransferase,False
signalpeptidaseII,-family,False
biotinsynthase,-family,False
UBAdomain-containingprotein,alpha/betahydrolase,False
DUF806familyprotein,ferritin-likedomain-containingprotein,False
ROKfamilytranscriptionalregulator,BatDfamilyprotein,False
CHADdomain-containingprotein,PMP-22/EMP/MP20familyprotein,False
Spc97/Spc98familyprotein,virulenceproteinRhuM/Fic/DOCfamilyprotein,False
integratorcomplexsubunit,PHF6familyPHDfingerdomain-containingprotein,False
ABC-2transporterpermease,C2H2-typezincfingerprotein,False
vMSAdomain-containingprotein,lysylphosphatidylglycerolsynthasetransmembranedomain-containingprotein,False
CPBPfamilyintramembraneglutamicendopeptidase,50Sribosome-bindingGTPase,False
single-strandedDNA-bindingprotein,-family,False
ArsRfamilytranscriptionalregulator,ROKfamilytranscriptionalregulator,False
non-ribosomalpeptidesynthetase,2Fe-2Siron-sulfurclusterbindingdomain-containingprotein,False
M50familymetallopeptidase,RidAfamilyprotein,False
DUF2760domain-containingprotein,DUF2529domain-containingprotein,False
nitricoxidesynthaseoxygenase,Kuprotein,False
phosphoribosylanthranilateisomerase,chloridechannelprotein,False
exodeoxyribonucleaseVIIsmallsubunit,-family,False
CLASPfamilyprotein,GNATfamilyN-acetyltransferase,False
imidazoleglycerol-phosphatedehydratase,-family,False
Siz/PIASRINGfingerprotein,ParB/RepB/Spo0Jfamilypartitionprotein,False
phosphatasePAP2/LCPfamilyprotein,cyanophycinase,False
F-BARanddoubleSH3domainsprotein,cdc42-interactingprotein4,False
TonB-dependentreceptor,RNA-bindingtranscriptionalaccessoryprotein,False
malatedehydrogenase,ChbG/HpnKfamilydeacetylase,False
C6transcriptionfactordomain-containingprotein,pyridoxalphosphate-dependentaminotransferase,False
ankyrinrepeatandFYVEdomain-containingprotein,kelch-likeprotein,False
typeIIIsecretionsystemeffectorprotein,actinfamilyprotein,False
arginase,B3domain-containingprotein,False
relaxosomeproteinTraM,glucosamine/galactosamine-6-phosphateisomerase/deaminasefamilyprotein,False
pleckstrinhomologydomain-containing,hybridsensorhistidinekinase/responseregulator,False
serine/threonine-proteinkinase/endoribonucleaseIRE,mycbox-dependent-interactingprotein1,False
ATPtransporterATP-bindingprotein/permease,2Fe-2Siron-sulfurclusterbindingdomain-containingprotein,False
serine/threonine-proteinkinase,U-boxdomain-containingproteinkinasefamilyprotein,False
helix-turn-helixtranscriptionalregulator,PHF14familyPHDfingerdomain-containingprotein,False
RHSrepeatdomain-containingprotein,RHSrepeatprotein,False
DNApolymeraseIIIsubunit,F-boxprotein,False
LCPfamilyprotein,-family,False
DUF5403familyprotein,DUF5399domain-containingprotein,False
cloacinimmunityfamilyprotein,coppertransporter,False
Ran-bindingdomain-containingprotein,hemerythrindomain-containingprotein,False
SRPBCCfamilyprotein,SpoIIEfamilyproteinphosphatase,False
HNHendonuclease,acrosomalproteinSP-10,False
gagprotein,insulinasefamilyprotein,False
thiolasefamilyprotein,-family,False
ubiquitindomain-containingprotein,-family,False
rRNAmaturationRNAseYbeY,phosphoribosyl-dephospho-CoAtransferase,False
NADPH-dependent7-cyano-7-deazaguaninereductase,-family,False
glycosyltransferasefamilyprotein,acyl-CoAsynthetase,False
anaerobicribonucleoside-triphosphatereductase,-family,False
ribonucleaseYeeFfamilyprotein,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazolinedecarboxylase,False
PPCdomain-containingDNA-bindingprotein,DUF368domain-containingprotein,False
CAMKfamilyserine/threonine-proteinkinase,calcium-dependentproteinkinase,False
3-deoxy-7-phosphoheptulonatesynthase,chemotaxisprotein,False
DEAD/DEAHboxhelicase,basichelix-loop-helixdomain-containingprotein,False
F0F1ATPsynthasesubunitepsilon,FoF1ATPsynthasesubunit,False
glycerophosphodiesterphosphodiesterasefamilyprotein,glycerophosphodiesterphosphodiesterase,False
diaminobutyrateacetyltransferase,exodeoxyribonucleaseVsubunitgamma,False
50Sribosomalprotein,-family,False
phosphoglyceratemutasefamilyprotein,-family,False
MFStransporter,RasGAPdomain-containingprotein,False
ribulose-bisphosphatecarboxylase,OTUfamilyubiquitinthioesterase,False
DUF763domain-containingprotein,DUF2familydomain-containingprotein,False
pre-mRNA-splicingfactor,NCBP2familyRNA-bindingprotein,False
ABCtransporterATP-bindingprotein,-family,False
DUF2285domain-containingprotein,DUF2familydomain-containingprotein,False
neuralWiskott-Aldrichsyndromeprotein,Wiskott-Aldrichsyndromeprotein,False
DUF3269familyprotein,DUF3265domain-containingprotein,False
serine/threonine-proteinkinase,cyclin-dependentkinase,False
CtsRfamilytranscriptionalregulator,responseregulatortranscriptionfactor,False
archaeosortase,ribosome-associatedtranslationinhibitorRaiA,False
PQQ-binding-likebeta-propellerrepeatprotein,M23familymetallopeptidase,False
polyhydroxyalkanoicacidsystemfamilyprotein,YbjNdomain-containingprotein,False
cyclin-dependentkinaseinhibitor,TonB-dependentreceptor,False
RtcBfamilyprotein,-family,False
altronatedehydratasefamilyprotein,NYNdomain-containingprotein,False
UDP-glucose--hexose-1-phosphateuridylyltransferase,glycinecleavagesystemprotein,False
transglutaminasefamilyprotein,amidoligasefamilyprotein,False
ATP-dependentClpproteaseATP-bindingsubunit,GGDEFdomain-containingprotein,False
50Sribosomalprotein,60Sribosomalprotein,False
4-(cytidine5'-diphospho)-2-C-methyl-D-erythritolkinase,-family,False
YdhH/YoaOfamilyprotein,DUF4940domain-containingprotein,False
phosphoribosylamine--glycineligase,-family,False
YIP1familyprotein,TLDdomain-containingprotein,False
mitochondrialmagnesiumexporter1familyprotein,paraquat-inducibleproteinA,False
ADP-ribosylationfactorGTPase-activatingprotein,SAMdomain-containingprotein,False
T-DNAborderendonucleaseVirD2,YhcH/YjgK/YiaLfamilyprotein,False
PcnBfamilypolynucleotideadenylyltransferase,-family,False
fibrinogenC-terminaldomain-containingprotein,dTMPkinase,False
flapendonuclease,-family,False
flagellarbasalbodyrodproteinFlgB,-family,False
eL15familyribosomalprotein,-family,False
DUF1120domain-containingprotein,DUF1134domain-containingprotein,False
methionine--tRNAligase,-family,False
replicationfactorCsmallsubunit,-family,False
